Index,Name,PosX,PosY,Width,Height,Tags
1,Theorie,51.9438,202.515,489.8496,41.4235,
2,Question 1,54.5738,276.1568,492.4797,2795.759,
-2,,46.0261,709.46,530.6156,224.8706,
-2,,45.3686,1608.9422,517.4653,188.0496,
-2,,37.4784,2401.2493,535.8757,255.1163,
3,Question 2,56.5464,3093.6139,489.1921,1401.1671,
-3,,45.3686,3288.2387,528.6431,233.4183,
-3,,47.9987,4175.8856,523.3829,204.4875,
4,Question 3,55.8889,4509.9038,491.1646,988.9044,
-4,,42.7386,5073.3952,516.8078,172.9268,
5,Question 4,53.9163,5520.5063,489.1921,305.745,
6,Question 5,55.8889,6102.4082,489.1921,1069.7789,
-6,,48.6562,6744.8015,514.1777,223.5555,
